stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,13693,138,1,100,100,2,0,False,7.845926284790039,2.0,2.0,0.0,0.16,0.0,0,69,28,-1,-1,0.0
stage1a_single_agent_tiny,1,13782,139,1,100,100,2,0,False,7.691431045532227,2.0,2.0,0.0,0.44,0.0,0,89,59,-1,-1,0.0
stage1a_single_agent_tiny,1,13902,140,1,100,100,2,0,False,-9.693918228149414,1.0,1.0,0.0,0.28,0.0,0,120,68,-1,-1,0.0
stage1a_single_agent_tiny,1,13984,141,1,100,100,2,0,False,0.28890037536621094,2.0,2.0,0.0,0.4,0.0,0,82,56,-1,-1,0.0
stage1a_single_agent_tiny,1,14072,142,1,100,100,2,0,False,9.352967262268066,2.0,2.0,0.0,0.48,0.0,0,88,2,-1,-1,0.0
stage1a_single_agent_tiny,1,14192,143,1,100,100,2,0,False,-6.379547119140625,1.0,1.0,0.0,0.24,0.0,0,120,100,-1,-1,0.0
stage1a_single_agent_tiny,1,14237,144,1,100,100,2,0,False,11.02949047088623,2.0,2.0,0.0,0.12,0.0,0,45,3,-1,-1,0.0
stage1a_single_agent_tiny,1,14344,145,1,100,100,2,0,False,4.789034366607666,2.0,2.0,0.0,0.56,0.0,0,107,86,-1,-1,0.0
stage1a_single_agent_tiny,1,14464,146,1,100,100,2,0,False,1.986926794052124,1.0,1.0,0.0,0.24,0.0,0,120,84,-1,-1,0.0
stage1a_single_agent_tiny,1,14492,147,1,100,100,2,0,False,12.844862937927246,2.0,2.0,0.0,0.24,0.0,0,28,20,-1,-1,0.0
stage1a_single_agent_tiny,1,14612,148,1,100,100,2,0,False,-7.27559757232666,0.0,0.0,0.0,0.32,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,14672,149,1,100,100,2,0,False,39.46334457397461,2.0,2.0,1.0,0.36,0.0,0,60,44,44,0,0.016666666666666666
stage1a_single_agent_tiny,1,14790,150,1,100,100,2,0,False,9.152336120605469,2.0,2.0,0.0,0.28,0.0,0,118,2,-1,-1,0.0
stage1a_single_agent_tiny,1,14860,151,1,100,100,2,0,False,37.93944549560547,2.0,2.0,1.0,0.28,0.0,0,70,23,23,0,0.014285714285714285
stage1a_single_agent_tiny,1,14929,152,1,100,100,2,0,False,42.43662643432617,2.0,2.0,1.0,0.32,0.0,0,69,66,66,0,0.014492753623188406
stage1a_single_agent_tiny,1,14956,153,1,100,100,2,0,False,11.404206275939941,2.0,2.0,0.0,0.32,0.0,0,27,23,-1,-1,0.0
stage1a_single_agent_tiny,1,15076,154,1,100,100,2,0,False,1.0030782222747803,1.0,1.0,0.0,0.36,0.0,0,120,103,-1,-1,0.0
stage1a_single_agent_tiny,1,15132,155,1,100,100,2,0,False,12.399603843688965,2.0,2.0,0.0,0.44,0.0,0,56,23,-1,-1,0.0
stage1a_single_agent_tiny,1,15252,156,1,100,100,2,0,False,-2.209724187850952,1.0,1.0,0.0,0.48,0.0,0,120,113,-1,-1,0.0
stage1a_single_agent_tiny,1,15309,157,1,100,100,2,0,False,6.499836444854736,2.0,2.0,0.0,0.32,0.0,0,57,37,-1,-1,0.0
stage1a_single_agent_tiny,1,15351,158,1,100,100,2,0,False,45.6156005859375,2.0,2.0,1.0,0.44,0.0,0,42,3,42,39,0.023809523809523808
stage1a_single_agent_tiny,1,15446,159,1,100,100,2,0,False,36.44127655029297,2.0,2.0,1.0,0.6,0.0,0,95,29,95,66,0.010526315789473684
stage1a_single_agent_tiny,1,15485,160,1,100,100,2,0,False,45.77406311035156,2.0,2.0,1.0,0.32,0.0,0,39,7,39,32,0.02564102564102564
stage1a_single_agent_tiny,1,15550,161,1,100,100,2,0,False,15.224973678588867,2.0,2.0,0.0,0.32,0.0,0,65,5,-1,-1,0.0
stage1a_single_agent_tiny,1,15670,162,1,100,100,2,0,False,-4.956604957580566,1.0,1.0,0.0,0.4,0.0,0,120,5,-1,-1,0.0
stage1a_single_agent_tiny,1,15731,163,1,100,100,2,0,False,10.942399978637695,2.0,2.0,0.0,0.32,0.0,0,61,55,-1,-1,0.0
stage1a_single_agent_tiny,1,15756,164,1,100,100,2,0,False,12.797077178955078,2.0,2.0,0.0,0.32,0.0,0,25,17,-1,-1,0.0
stage1a_single_agent_tiny,1,15876,165,1,100,100,2,0,False,-6.260026931762695,1.0,1.0,0.0,0.52,0.0,0,120,6,-1,-1,0.0
stage1a_single_agent_tiny,1,15894,166,1,100,100,2,0,False,15.805232048034668,2.0,2.0,0.0,0.16,0.0,0,18,15,-1,-1,0.0
stage1a_single_agent_tiny,1,16014,167,1,100,100,2,0,False,2.6241605281829834,1.0,1.0,0.0,0.48,0.0,0,120,119,-1,-1,0.0
stage1a_single_agent_tiny,1,16041,168,1,100,100,2,0,False,42.812625885009766,2.0,2.0,1.0,0.4,0.0,0,27,14,27,13,0.037037037037037035
