stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,swarm_efficiency
stage1a_single_agent_miniscule,1,1,9328,115,1,50,50,1,0,191.55996704101562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,21,18,18,0,1.0,0.19047619047619047
stage1a_single_agent_miniscule,1,1,9448,116,1,50,50,1,0,-3.746185779571533,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,9554,117,1,50,50,1,0,188.76947021484375,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,106,103,103,0,1.0,0.03773584905660377
stage1a_single_agent_miniscule,1,1,9674,118,1,50,50,1,0,-2.4928157329559326,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,9769,119,1,50,50,1,0,190.42977905273438,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,95,90,90,0,1.0,0.042105263157894736
stage1a_single_agent_miniscule,1,1,9784,120,1,50,50,1,0,191.3599853515625,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,15,8,8,0,1.0,0.26666666666666666
stage1a_single_agent_miniscule,1,1,9788,121,1,50,50,1,0,191.70962524414062,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
stage1a_single_agent_miniscule,1,1,9862,122,1,50,50,1,0,189.51202392578125,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,74,67,67,0,1.0,0.05405405405405406
stage1a_single_agent_miniscule,1,1,9904,123,1,50,50,1,0,190.81878662109375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,42,35,35,0,1.0,0.09523809523809523
stage1a_single_agent_miniscule,1,1,9967,124,1,50,50,1,0,189.44375610351562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,63,55,55,0,1.0,0.06349206349206349
stage1a_single_agent_miniscule,1,1,9986,125,1,50,50,1,0,191.0734100341797,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,19,16,16,0,1.0,0.21052631578947367
stage1a_single_agent_miniscule,1,1,9990,126,1,50,50,1,0,191.4705047607422,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
stage1a_single_agent_miniscule,1,1,10103,127,1,50,50,1,0,189.72622680664062,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,113,86,86,0,1.0,0.035398230088495575
stage1a_single_agent_miniscule,1,1,10223,128,1,50,50,1,0,-4.65742826461792,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,10343,129,1,50,50,1,0,-2.937925100326538,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,10433,130,1,50,50,1,0,189.21755981445312,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,90,72,72,0,1.0,0.044444444444444446
stage1a_single_agent_miniscule,1,1,10545,131,1,50,50,1,0,190.79928588867188,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,112,109,109,0,1.0,0.03571428571428571
stage1a_single_agent_miniscule,1,1,10571,132,1,50,50,1,0,191.03085327148438,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,26,22,22,0,1.0,0.15384615384615385
stage1a_single_agent_miniscule,1,1,10691,133,1,50,50,1,0,-2.843842029571533,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,10725,134,1,50,50,1,0,190.48135375976562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,34,30,30,0,1.0,0.11764705882352941
stage1a_single_agent_miniscule,1,1,10729,135,1,50,50,1,0,191.46072387695312,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
stage1a_single_agent_miniscule,1,1,10849,136,1,50,50,1,0,-3.072944164276123,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,10898,137,1,50,50,1,0,188.78408813476562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,49,45,45,0,1.0,0.08163265306122448
stage1a_single_agent_miniscule,1,1,10938,138,1,50,50,1,0,190.6634063720703,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,40,27,27,0,1.0,0.1
stage1a_single_agent_miniscule,1,1,11058,139,1,50,50,1,0,-3.8204612731933594,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
